"committer","commit_frequency","commit_time_category","avg_sentiment"
"000104177f3c236bd299ce03d217c057da474bac","irregular","regular","-0.07692307692307692308"
"000104177f3c236bd299ce03d217c057da474bac","regular","regular","-0.04109589041095890411"
"0001d1587ed2396d62d2455de241365782165102","regular","regular","0.00000000000000000000"
"000e5c2f641388b185dcfd090ba93027307bf2ed","irregular","regular","0.00000000000000000000"
"000e5c2f641388b185dcfd090ba93027307bf2ed","regular","regular","-1.00000000000000000000"
"000ea40ec12c010b8a416fb7c8a1060551ec698b","irregular","regular","0.00000000000000000000"
"000ea40ec12c010b8a416fb7c8a1060551ec698b","regular","regular","0.00000000000000000000"
"0011b93c5722b9756a70b01987e0bd739c8b8633","irregular","regular","0.00000000000000000000"
"0011b93c5722b9756a70b01987e0bd739c8b8633","regular","regular","0.00000000000000000000"
"0013e8c6b7f286c2296909e27161f2ab032edc6a","regular","regular","0.00000000000000000000"
"0014a9d25cd1e9e7996a667b389b801e81f11709","irregular","regular","-0.40000000000000000000"
"0014a9d25cd1e9e7996a667b389b801e81f11709","regular","regular","-0.10000000000000000000"
"0014b60226e6ec8494e7d5d8ebaf4150ed52c194","irregular","regular","0.00000000000000000000"
"0014b60226e6ec8494e7d5d8ebaf4150ed52c194","regular","regular","-0.15000000000000000000"
"0015b60ee61c8283f01a4cbe52d80c12b75110f4","regular","regular","0.00000000000000000000"
"0017711104c4745db31eace9c3786f2d27ded8cc","irregular","regular","0.00000000000000000000"
"0017711104c4745db31eace9c3786f2d27ded8cc","regular","regular","0.00000000000000000000"
"00196ae9fe7293e9e809f3ff11485fcbe3943a7f","irregular","regular","0.46666666666666666667"
"00196ae9fe7293e9e809f3ff11485fcbe3943a7f","regular","regular","0.23076923076923076923"
"00197c9f5113e8e356811d24a6fc8822d1bb01d1","regular","regular","0.00000000000000000000"
"001a61337e8d10bea6a622826a7ab9f0e8d1d6c7","irregular","regular","-1.00000000000000000000"
"001a61337e8d10bea6a622826a7ab9f0e8d1d6c7","regular","regular","-0.33333333333333333333"
"001bceb6bc6b7bef24201a7c89e622c96006d56a","irregular","regular","-1.00000000000000000000"
"001bceb6bc6b7bef24201a7c89e622c96006d56a","regular","regular","0.00000000000000000000"
"001ec06d728e555df8188668cb22e8a045a02ae3","regular","regular","0.50000000000000000000"
"001fb1d9ab057e0abb49eec72712ea99e14d985a","irregular","regular","0.00000000000000000000"
"001fb1d9ab057e0abb49eec72712ea99e14d985a","regular","regular","-0.02272727272727272727"
"0024a2a72d5ba4130183cd13147e90b9bafd644f","regular","regular","-1.00000000000000000000"
"0026c797ad7a9ad8ca7bff3f2ff88e0578a65cd6","irregular","regular","-0.16666666666666666667"
"0026c797ad7a9ad8ca7bff3f2ff88e0578a65cd6","regular","regular","-0.25000000000000000000"
"002706ac137a80e2bbd4fd41ad4ff7df909df175","regular","regular","0.00000000000000000000"
"002a3dbb626eb9dad616ee71708cf692aa37aaa0","regular","regular","0.00000000000000000000"
"002ebf1689eb51d371898f31985e030de321645a","regular","regular","0.00000000000000000000"
"002f7022628f8745ce0d30a1f5e095e27ef02300","regular","regular","0.00000000000000000000"
"00311241825c84a9fcf09898a9e7097b33b88161","irregular","regular","0.00000000000000000000"
"00311241825c84a9fcf09898a9e7097b33b88161","regular","regular","0.00000000000000000000"
"0031c21980795e20575edc6051b503e4cd1bd550","irregular","regular","-0.12121212121212121212"
"0031c21980795e20575edc6051b503e4cd1bd550","regular","regular","-0.03394877903513996426"
"0032a1eab3e965467db90a1fdc6dd9af0d4ddbdb","irregular","regular","0.00000000000000000000"
"0032a1eab3e965467db90a1fdc6dd9af0d4ddbdb","regular","regular","-0.00340136054421768707"
"00337f391633e325673c2848f1247082a91bf7a5","irregular","regular","0.00000000000000000000"
"00337f391633e325673c2848f1247082a91bf7a5","regular","regular","-0.03448275862068965517"
"00342f8fbcb99c74ba9e9805d002e310cf8ba6c7","irregular","regular","0.00000000000000000000"
"00342f8fbcb99c74ba9e9805d002e310cf8ba6c7","regular","regular","-0.07692307692307692308"
"00357804d72248796da02f4519956a6861dada4b","regular","regular","0.00000000000000000000"
"0036f7afeb7afd04b6523b7ee23234cda8601cdc","regular","regular","0.00000000000000000000"
"00376c6757988bafb082bcb31548c2ffcc7081d5","regular","regular","0.00000000000000000000"
"003a4cc91eb3fcfa8a50dc2e17aaeba788c24cb7","irregular","regular","-1.00000000000000000000"
